,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
140,3,3,7,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
141,3,4,0,11,33,6559,2456,1.2569457420086376,0.8054418378168008,0.18343470208408832,0.0,10.209782575124484,10.245535628473803,4.562436733582692,5.073368316337496,0.7853293843180708,0.8061775115310187,0.5042855968268997,0.6202383114294814
142,3,4,1,11,33,249,413,0.680099853550882,0.03969367928472427,0.06288704881069694,0.0004576056674176294,10.198046736089204,10.245255354392187,3.63371433832393,4.181947372218503,0.037679576370875024,0.03796030241338501,0.13481738522988757,0.17044537132632456
143,3,4,2,11,33,20,39,0.51406579071278,0.002587000352067101,0.01572715760658567,2.9511852513019673e-05,10.191477124787511,10.231813574492904,2.542778466061282,3.0020044134523376,0.0028283426026494704,0.0028187707604863696,0.016980559268242552,0.018327172689348265
144,3,4,3,11,33,2,6,0.03326450907821908,7.315924397242705e-05,0.0018262603119444019,7.357094928188619e-06,9.579912561687053,9.994950880068762,1.6806083054848104,2.0661043414380575,0.00014778579513292656,0.00014772570607389404,0.0021710289150136544,0.0024276035255447518
145,3,4,4,11,33,1,2,0.0,0.0,0.0005958783482346036,1.1334375620143493e-06,,,1.2015442588868517,1.5167984560070598,0.0,0.0,0.00047193494234761343,0.000477775299155402
146,3,4,5,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
147,3,4,6,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
148,4,0,0,2,4,4726,2162,0.039657350505053396,0.03246567268993473,0.0104591293459561,8.923482651811837e-07,8.140673456669292,8.185927678848376,3.6760623162408645,4.181592497140278,0.030979585526954827,0.03261618074412887,0.05787310718146498,0.06171014374089744
149,4,0,1,2,4,568,882,0.01578178049010272,0.009051012146663776,0.0060518720165687444,1.8975309788455373e-05,8.105213679599261,8.185779424113383,2.7953926109469203,3.7332940071971743,0.008208596745198065,0.009376563535225257,0.024328895660130884,0.029695111155873907
150,4,0,2,2,4,48,247,0.006153606756543255,0.0008114054013655249,0.0026679755561885817,2.22680988489583e-06,8.151793696969474,8.180685348137958,2.0215262309881394,3.096891948550498,0.0007219570364812779,0.0007078082213247186,0.007630363872782273,0.009397448570299068
151,4,0,3,2,4,7,29,0.004155720244222184,0.00013074592367027897,0.0008109237839531886,2.502834925335179e-07,8.106372773846168,8.138281717644979,1.2612535201434927,2.0258449664238394,8.965582544153935e-05,8.883891293604202e-05,0.0010293637443150863,0.0012983663734033154
152,4,0,4,2,4,3,7,0.0008532024790281747,1.4377460703152156e-05,0.00014385624494884803,1.2535872286327954e-07,6.906865783968069,8.050414372670254,0.9105659362399978,1.315154071520983,3.0454922845029273e-05,2.9569313964898534e-05,0.00024669576114969255,0.00027414961292705623
153,4,0,5,2,4,2,2,0.0007553566421138469,2.7510522922907787e-06,3.625565863838321e-05,6.578957319376688e-08,6.926707991714446,7.937624314965827,0.39793433957812413,0.6887716394122926,1.4846394020350857e-05,1.4779259889639154e-05,4.5104121349186525e-05,4.464763258551483e-05
154,4,0,6,2,4,1,2,0.0,0.0,3.625565863838321e-05,2.906132283461531e-07,,,0.39793433957812413,0.6887739833290836,0.0,0.0,4.5104121349186525e-05,4.464762726720586e-05
155,4,0,7,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
156,4,0,8,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
